"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3291","@regression verify search results count - airtel - null","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2948","@sanity logout link exist test","chromium","2026-06-30","passed","2026-06-30","","homepagefix.spec.ts","",""
"","2930","@smoke @sanity user is able to login to app test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","4193","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","4367","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","196","mock search page with fake HTML","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","2687","@regression invalid login test with excel data - excel_invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2892","@sanity home page title test","chromium","2026-06-30","passed","2026-06-30","","homepagefix.spec.ts","",""
"","344","create a user test","chromium","2026-06-30","passed","2026-06-30","raw api users endpoint test","api/users.api.spec.ts","",""
"","2910","@sanity @smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","409","GET -- get all users","chromium","2026-06-30","passed","2026-06-30","","api/users.api.schema.spec.ts","",""
"","2825","@regression invalid login test with JSON data - wrong@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","986","PUT - update a user","chromium","2026-06-30","passed","2026-06-30","","api/users.api.indi.spec.ts","",""
"","3074","@regression home page headers exist test","chromium","2026-06-30","passed","2026-06-30","","homepagefix.spec.ts","",""
"","2608","@regression invalid login test with -  - pw1234","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2974","@regression home page headers exist test @junesprint","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","411","Delete a user test","chromium","2026-06-30","passed","2026-06-30","raw api users endpoint test","api/users.api.spec.ts","",""
"","8","@sanity placeholder test","chromium","2026-06-30","passed","2026-06-30","","searchpage.spec.ts","",""
"","4272","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2210","@sanity login page title test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","2","GET -- get location data","chromium","2026-06-30","skipped","2026-06-30","","api/amadeus.oauth2.spec.ts","",""
"","3330","@regression verify user is able to land on the product page - airtel - null","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","391","Update a user test","chromium","2026-06-30","passed","2026-06-30","raw api users endpoint test","api/users.api.spec.ts","",""
"","2623","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2213","@sanity login page title test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2117","@regression forgot pwd link exist test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","788","GET -- get a user","chromium","2026-06-30","passed","2026-06-30","","api/users.api.schema.spec.ts","",""
